name,type,lat,lng,address,rating,reviews,budget,time_h,mood,description,popular,source
Hathni Mata Waterfall,Waterfall,22.4992,73.537,Jambughoda Gujarat,4.3,635,Regular,2,Relaxation,Hidden monsoon waterfall inside Vindhya forests.,No,Google Maps
Kirti Mandir,Historic Site,21.6417,69.6145,Porbandar Gujarat,4.5,1240,Regular,1,Cultural,Birthplace memorial of Mahatma Gandhi at Porbandar.,Yes,Holidify
Vijay Vilas Palace,Palace,22.8266,69.3616,Mandvi Kutch Gujarat,4.3,1350,Moderate,1.5,Cultural,Royal summer palace with beach views.,Yes,Gujarat Tourism
Narara Marine National Park,Marine Park,22.395,69.085,Okha Gulf of Kutch,4.4,420,Regular,3,Adventure,Coral walk and marine life in shallow waters.,No,TripAdvisor
Ratanmahal Sloth Bear Sanctuary,Wildlife,22.5064,74.0087,Dahod Gujarat,4.2,360,Regular,2,Relaxation,Dense forest famous for sloth bear population.,No,Holidify
Hatkeshwar Temple,Temple,23.3016,72.6402,Ghantakarna Mahadev Rd Ahmedabad,4.2,500,Regular,1.5,Spiritual,Famous Shiva temple in Maninagar area of Ahmedabad.,No,Google Maps
Gabbar Hill,Temple Hill,24.3315,72.8472,Ambaji Gujarat,4.6,920,Regular,2.5,Spiritual,Climbable hill and ropeway near Ambaji Temple.,Yes,Holidify
Bhavani Temple,Temple,23.55,72.4333,Visnagar Gujarat,4.3,780,Regular,1.5,Spiritual,Famous temple in Mehsana district.,No,TripAdvisor
Tarnetar Fair,Festival site,22.8369,71.1933,Tarnetar Gujarat,4.2,1090,Regular,1.5,Cultural,Rural fair famous for traditional matchmaking festival.,Yes,TripAdvisor
Ajwa Water Park,Water Park,22.4063,73.2288,Vadodara Gujarat,4.1,2100,Moderate,3,Family,Outdoor waterpark with slides and picnic areas.,Yes,Google Maps
Unai Hot Springs,Thermal Spring,20.9786,73.394,Unai Navsari Gujarat,4.2,530,Regular,1.5,Relaxation,Natural hot spring with spiritual significance.,No,Gujarat Tourism
Khijadiya Bird Sanctuary,Bird Sanctuary,22.4707,70.183,Jamnagar Gujarat,4.3,980,Regular,3,Relaxation,Wetlands with a large variety of migratory birds.,No,TripAdvisor
ISKCON Ahmedabad,Temple,23.037,72.5482,Sarkhej Gandhinagar Highway Ahmedabad,4.6,6500,Regular,2,Spiritual,Well-known Krishna temple and spiritual center.,Yes,ISKCON.org
Ambaji Temple,Temple,24.3335,72.8567,Ambaji Gujarat,4.7,8900,Regular,2,Spiritual,Shakti Peeth and highly visited pilgrimage site.,Yes,Holidify
Bhuj Museum,Museum,23.253,69.6674,Bhuj Gujarat,4.3,620,Regular,1.5,Cultural,Historic museum with tribal artworks of Kutch.,No,Gujarat Tourism
Hingolgadh Nature Education Sanctuary,Wildlife Sanctuary,22.2907,71.1578,Jasdan Taluka Rajkot Gujarat,4.2,410,Regular,2,Relaxation,Birdwatching destination inside Hingolgadh Fort premises.,No,Forest Department
Umiya Mata Temple,Temple,23.1973,72.6366,Ghuma Ahmedabad Gujarat,4.5,1500,Regular,1.5,Spiritual,Major temple for Kadva Patidar community.,No,TripAdvisor
Lakhpat Fort,Fort,23.8325,68.7856,Lakhpat Village Kutch Gujarat,4.4,470,Regular,2.5,Cultural,Historical ruined fort; former prosperous town of Kutch.,No,Holidify
Marine National Park,Marine Park,22.5213,69.0661,Narara Jamnagar Gujarat,4.2,1250,Regular,3,Relaxation,Tidal mudflats with abundant corals and marine life.,No,Gujarat Forest Dept
Galteshwar Mahadev Temple,Temple,22.6507,73.2055,Dabhoi Vadodara Gujarat,4.3,980,Regular,2,Spiritual,Carved 11th-century temple at river confluence.,No,TripAdvisor
Sakar Khan's Dargah,Historical,22.4984,73.4693,Champaner Gujarat,4.1,290,Regular,1,Cultural,Old Islamic tomb in UNESCO heritage zone.,No,UNESCO
Ajwa Dam,Lake/Dam,22.4064,73.229,Ajwa Vadodara,4.2,2260,Regular,2,Relaxation,Scenic reservoir with gardens and boating.,No,Google Maps
Makarpura Palace,Palace,22.2763,73.1945,Vadodara Gujarat,4.1,790,Regular,1.5,Cultural,Italian-style palace converted to Air Force training school.,No,Holidify
Roopmala Garden,Garden,22.2834,73.3447,Vadodara Gujarat,4,360,Regular,1,Relaxation,Recreational garden with picnic spots.,No,Google Maps
Pariej Lake,Birding Spot,22.3974,72.8192,Kheda District Gujarat,4.3,180,Regular,2,Relaxation,Hidden gem birdwatching lake near Nadiad.,No,Forest Department
Hastkala Academy,Handicraft Center,21.5247,70.465,Junagadh Gujarat,4.2,250,Regular,1.5,Cultural,Traditional handicraft training and retail center.,No,Gujarat Tourism
Nilkanth Dham Poicha,Temple Complex,21.977,73.2716,Poicha Narmada District Gujarat,4.8,8250,Premium,3,Spiritual,Modern Swaminarayan spiritual complex on Narmada River.,Yes,Gujarat Tourism
Ghumli Stepwell & Navlakha Temple,Stepwell and Temple,21.978,69.8321,Ghumli Gujarat,4.3,270,Regular,2.5,Cultural,Ancient 12th-century temple ruins and stepwell complex.,No,ASI India
Tithal Beach,Beach,20.5917,72.9644,Tithal  Valsad Gujarat,4.4,2210,Regular,2,Relaxation,Sandy beach with black sand near Valsad city.,Yes,TripAdvisor
Kabirvad Island,Spiritual Site,21.9672,73.3347,Bharuch Gujarat,4.5,1258,Regular,3,Spiritual,Holy island in Narmada river with ancient banyan tree.,Yes,Holidify
Jambughoda Wildlife Sanctuary,Wildlife Sanctuary,22.4746,73.6744,Panchmahal Gujarat,4.2,970,Regular,3,Adventure,Dense forest reserve with leopards and sloth bears.,No,Forest Department
Devalia Park (Gir Interpretation Zone),Wildlife Enclosure,21.1216,70.7488,Near Sasan Gir Gujarat,4.6,1770,Regular,2.5,Family,Lion safari park for quick wildlife sightings.,Yes,TripAdvisor
Shoolpaneshwar Wildlife Sanctuary,Wildlife Sanctuary,21.8163,73.6158,Dediapada Gujarat,4.3,450,Regular,3,Relaxation,Sacred groves  hills and rich biodiversity.,No,TripAdvisor
Gadhavi Museum,Museum,21.5245,70.4604,Junagadh Gujarat,4.1,120,Regular,1,Cultural,Ethnic museum with local textile and art collection.,No,Holidify
Balaram Mahadev Temple,Temple,24.0267,72.6483,Palanpur Gujarat,4.4,610,Regular,1.5,Spiritual,Local pilgrimage center with scenic views.,No,Google Maps
Udvada Atash Behram Temple,Temple,20.6255,72.8788,Udvada  Valsad Gujarat,4.5,1440,Regular,1.5,Spiritual,Spiritual Oldest functioning Zoroastrian fire temple in the world.,Yes,TripAdvisor
Siddhnath Mahadev Temple,Temple,23.48,72.01,Virpur  Mehsana District,4.3,320,Regular,1.5,Spiritual,Historic Lord Shiva temple near Mehsana.,No,TripAdvisor
Hazrat Pir Ghulam Ali Shah Dargah,Dargah,22.3055,70.7938,Rajkot Gujarat,4.3,560,Regular,1.5,Spiritual,Renowned for its annual Urs festival and shrines.,No ,Gujarat Tourism
Malnath Mahadev Temple,Temple,21.6377,70.124,Bhavnagar District Gujarat,4.2,433,Regular,1.5,Spiritual,Scenic Shiva temple in Aravalli foothills.,No,Holidify
Wilson Hills,Hill Station,20.6493,73.6412,Dharampur Gujarat,4.5,950,Regular,3,Relaxation,Peaceful hill getaway with forest views and cool air.,Yes, Gujarat Tourism
Chhota Udepur Palace,Palace,22.3036,74.0099,Chhota Udepur Gujarat,4,190,Regular,1.5,Cultural,Historic palace of tribal rulers now closed to public.,No,Wikipedia
Dandi Beach,Beach,21.0794,72.7445,Navsari District Gujarat,4.3,1430,Regular,2,Cultural,Salt Satyagraha site with sandy coast and museum.,Yes,TripAdvisor
Morbi Hanging Bridge,Bridge,22.8175,70.8313,Morbi Gujarat,4.5,1620,Regular,1.5,Family,Historic suspension bridge over Machhu river.,Yes,TripAdvisor
Ukai Dam,Lake/Dam,21.2291,73.6147,Tapi District Gujarat,4.2,1160,Regular,2,Relaxation,Power dam and picnic spot with lake views.,No,Gujarat Tourism
Shri Swaminarayan Temple Kalupur,Temple,23.0321,72.582,Ahmedabad Gujarat,4.7,9920,Regular,2.5,Spiritual,One of the oldest Swaminarayan temples in India.,Yes,TripAdvisor
Ghela Somnath Mandir,Temple,22.8937,72.7862,Ghela  Saurashtra Gujarat,4.3,450,Regular,1.5,Spiritual,Peaceful temple at the origin of Ghela River.,No,Wikipedia
INTACH Heritage Walk,Walking Tour,23.0262,72.5822,Old Ahmedabad Gujarat,4.6,810,Regular,2.5,Cultural,Celebrated guided heritage walk in pol communities.,Yes,Gujarat Tourism
Madhavpur Beach,Beach,21.2528,70.1311,Madhavpur Ghed Gujarat,4.4,1320,Regular,2.5,Relaxation,Long undeveloped serene beach dotted with shells.,No,TripAdvisor
Gandhi Ashram,Heritage Site,23.0608,72.5805,Sabarmati  Ahmedabad Gujarat,4.7,19800,Regular,2,Cultural,Mahatma Gandhi's historic residence and museum.,Yes,Gujarat Tourism
Tulsi Shyam Hot Springs,Hot Springs,21.036,70.5997,Amreli District Gujarat,4.3,670,Regular,2,Relaxation,Hot water springs amidst forested Gir region.,No,Gujarat Tourism
Shri Jagannath Temple,Temple,23.0122,72.5737,Jamnalal Bajaj Rd  Ahmedabad,4.5,5400,Regular,1.5,Spiritual,Famous for Rath Yatra and spiritual activities.,Yes,TripAdvisor
Hingolgadh Fort,Nature and Heritage,22.291,71.157,Rajkot District Gujarat,4.2,280,Regular,1.5,Cultural,Fort inside Hingolgadh Nature Education Sanctuary.,No,Holidify
Jesal-Toral Samadhi Mandir,Memorial,23.1586,70.3917,Anjar  Kutch Gujarat,4.2,430,Regular,1.5,Cultural,Folk heroes’ memorial  known for spirituality and sacrifice.,No,Gujarat Tourism
Guneri Jain Temple,Temple,23.2481,69.652,Guneri   Kutch Gujarat,4.1,180,Regular,1.2,Spiritual,Historic Jain temples in quiet village with architecture.,No,Google Maps
Tapkeshwari Hills,Trekking Point,23.1945,69.6042,Bhuj Gujarat,4.3,740,Regular,2.5,Adventure,Trekking trail favored by locals and students.,No,Holidify
Sidi Saiyyed Mosque,Mosque,23.0247,72.5692,Lal Darwaja  Ahmedabad,4.6,7250,Regular,1.2,Cultural,Famous mosque known for tree of life Jali-work.,Yes,TripAdvisor
Chotila Temple,Temple,22.4245,71.1962,Chotila  Surendranagar Gujarat,4.5,7600,Regular,2.5,Spiritual,Temple of Chamunda Mata atop hill—many stairs.,Yes,Holidify
Ghela Somnath Waterfall,Nature Spot,22.8851,72.7952,Near Ghela river Gujarat,4.2,380,Regular,2,Relaxation,Seasonal waterfall site popular locally.,No,TripAdvisor
Bhav Nagar Lock Gate,Dam/Gate,21.7559,72.1373,Bhavnagar Port area Gujarat,4,350,Regular,1.5,Relaxation,Unique tidal lock gate for ship docking.,No,Google Maps
Jhulta Minara (Shaking Minarets),Structure,23.0266,72.585,Sarangpur  Ahmedabad Gujarat,4.4,540,Regular,1.5,Cultural,Ancient minarets that vibrate when one is shaken.,No,Holidify
Champaner Jain Temples,Temple Complex,22.4911,73.5551,Pavagadh hills  Panchmahal Gujarat,4.3,1000,Regular,2,Spiritual,Group of old Jain temples near UNESCO site.,Yes,ASI India
Mandvi Wind Farms,Wind Energy Site,22.8447,69.364,Mandvi  Kutch Gujarat,4.1,310,Regular,1.5,Relaxation,Coastal road lined with wind turbines and views.,No,Holidify
Santram Mandir Nadiad,Temple,22.6917,72.859,Nadiad Gujarat,4.5,6100,Regular,1.5,Spiritual,Sprawling religious campus devoted to Saint Santram.,Yes,TripAdvisor
Ramji Mandir Bhuj,Temple,23.2512,69.6672,Bhuj Gujarat,4.2,880,Regular,1.5,Spiritual,Famous local temple near Bhuj market area.,No,Google Maps
Rojki Stepwell,Stepwell,21.7311,70.8229,Junagadh District Gujarat,4.1,90,Regular,1,Cultural,Less-known smaller stepwell with beautiful symmetry.,No,ASI
Sardhard Water Tank,Reservoir,22.0701,70.9247,Rajkot Gujarat,4,130,Regular,1.5,Relaxation,Calm water body used for picnic and nature walk.,No,Local Blog
Vadodara Museum and Picture Gallery,Museum,22.3124,73.1802,Vadodara Gujarat,4.4,1520,Regular,2,Cultural,Built by Maharaja Sayajirao  British-style museum.,Yes,TripAdvisor
Mehsana Water Park (Bliss Aqua),Water Park,23.6001,72.3679,Mehsana Gujarat,4.5,4300,Moderate,3,Family,Modern water park attraction with slides and pools.,Yes,Google Maps
Waghai Botanical Garden,Garden,20.7936,73.4968,Dang Gujarat,4.3,780,Regular,1.5,Relaxation,Tropical flora collection in forested hill region.,No,Holidify
Udhna Udise Garden,Garden,21.1746,72.8518,Surat Gujarat,4.1,320,Regular,1.2,Relaxation,Urban recreation garden with garden train and lake.,No,Surat Nagar Nigam
Silvassa Tribal Museum,Museum,20.274,72.997,Dadra & Nagar Haveli Gujarat border),4.4,620,Regular,2,Cultural,Museum showcasing tribal culture and ornaments.,No,TripAdvisor
Shri Swaminarayan Mandir Rajkot,Temple,22.3128,70.8122,Rajkot Gujarat,4.6,7700,Regular,2,Spiritual,Major spiritual site of Swaminarayan sect.,Yes,TripAdvisor
Hingalaj Mata Mandir,Temple Cave,22.8222,69.5121,Near Jakhau  Kutch Gujarat,4.3,510,Regular,1.5,Spiritual,Small sacred cave in rocky desert near coast.,No,Holidify
Bhim Chhatri,Memorial,22.3087,70.7913,Rajkot Gujarat,4.1,260,Regular,1.2,Cultural,Cenotaph built over king’s subordinate Bhimji.,No,Rajkot Civic Info
Jadeshwar Mahadev Temple,Temple,21.6612,72.1471,Bhavnagar District Gujarat,4.2,740,Regular,1.5,Spiritual,Rural Shiva temple with seasonal fairs.,No,Gujarat Darshan
Khodaldham Kagvad,Temple,21.7586,71.3795,Kagvad  Rajkot Dist Gujarat,4.8,10900,Moderate,2.5,Spiritual,Huge spiritual complex built for Leuva Patidars.,Yes,Google Maps
Goddess Meldi Mata Temple,Temple,22.9952,72.5034,Bavla  Ahmedabad district Gujarat,4.4,1820,Regular,2,Spiritual,One of Gujarat’s popular regional deities.,No,TripAdvisor
Vadnagar Kirti Toran,Monument,23.7815,72.6381,Vadnagar Gujarat,4.3,670,Regular,1.2,Cultural,Two intricately carved pillars from Solanki rulers.,Yes,ASI
Jambughoda Eco Campsite,Forest Stay,22.4722,73.6766,Jambughoda Sanctuary Gujarat,4.4,350,Moderate,2,Relaxation,Govt. maintained ecocamps for wildlife & trekking.,No,Gujarat Forest Dept
Pingleshwar Beach,Beach,23.2366,68.762,Near Mandvi Gujarat,4.4,410,Regular,2,Relaxation,Virgin beach lined with shivaling rocks.,No,Holidify
Dattatreya Temple Girnar,Hill Temple,21.517,70.4892,Girnar Hills Gujarat,4.6,3200,Regular,4,Spiritual,5000-step pilgrimage with hilltop sunrise views.,Yes,TripAdvisor
Mahabat Maqbara,Mausoleum,21.5221,70.4579,Junagadh Gujarat,4.7,6300,Regular,1.5,Cultural,Blend of Gothic and Indo-Islamic architecture.,Yes,Gujarat Tourism
Hazira Beach,Beach,21.1171,72.6396,Surat District Gujarat,4,980,Regular,2,Relaxation,Urban beachfront with laid-back ambience.,No,TripAdvisor
Vaishnodevi Temple Ahmedabad,Temple,23.1232,72.5788,SG Highway  Ahmedabad Gujarat,4.6,5450,Regular,2,Spiritual,Replica of Vaishno Devi atop artificial hill.,Yes,Gujarat Tourism
Ambubai Lake,Lake,22.566,72.985,Anand district Gujarat,4.1,310,Regular,1.5,Relaxation,Rural lake popular with photographers and picnics.,No,Google Maps
Kaleshwari Ni Nal Stepwell,Heritage Stepwell,22.5085,74.0341,Panam Gujarat,4.2,240,Regular,1.5,Cultural,Stone stepwell structure hidden in forest line.,No,ASI
Bhuchar Mori Battle Ground,Historic Site,22.3056,70.3397,Dharangadhra Gujarat,4.3,150,Regular,1,Cultural,Sited battlefield between Jadeja and Mughal armies.,No,Gujarat History Portal
Sarod Gopi Talav,Lake,21.1933,72.8298,Surat Gujarat,4.2,920,Regular,1.5,Relaxation,Historic renovated lake with gardens and cultural events.,Yes,Surat Smart City
Dakor Ranchhodrai Temple,Temple,22.7516,73.1497,Dakor  Kheda District Gujarat,4.6,10400,Regular,2,Spiritual,Famous Krishna temple visited by thousands of devotees.,Yes,TripAdvisor
Kirti Mandir Vadodara,Memorial,22.3071,73.1813,Vadodara Gujarat,4.3,700,Regular,1.5,Cultural,Built by Maharaja Sayajirao in memory of Mahatma Gandhi.,Yes,Gujarat Tourism
Bhadkeshwar Mahadev Temple,Sea Temple,22.2347,68.9564,Dwarka Gujarat,4.5,1590,Regular,1.5,Spiritual,Shiva temple surrounded by ocean; visible at low tide.,Yes,TripAdvisor
Mangadh Hill,Historic Hill,21.4183,73.6425,The Dangs Gujarat,4.4,650,Regular,2.5,Cultural,Tribal freedom fighters memorial inside forest landscape.,No,Holidify
Kanthkot Fort,Fort,23.4279,71.0004,Kutch Gujarat,4,310,Regular,2.5,Cultural,Offbeat rocky fort ruins reached via dusty trails.,No,Kutch Tourism
Sahitya Sarita Library,Literary Center,22.3084,70.7863,Rajkot Gujarat,4.2,120,Regular,1,Cultural,Public library hosting Gujarati literature events.,No,Civic Info
Anjar Jain Temples,Jain Temple,23.1141,70.0263,Anjar  Kutch Gujarat,4.4,430,Regular,2,Spiritual,Cluster of Jain temples with colorful marble interiors.,No,TripAdvisor
Ravindra Art Gallery,Gallery,22.3039,73.1835,Vadodara Gujarat,4.3,200,Regular,1,Cultural,Contemporary exhibitions by local and national artists.,No,Google Reviews
Madhuban Dam,Dam,20.3915,73.0224,Dadra & Nagar Haveli Gujarat,4.3,740,Regular,2.5,Relaxation,Popular picnic spot surrounding forest and big dam.,Yes,TripAdvisor
Uparkot Caves,Buddhist Caves,21.5231,70.4597,Junagadh Gujarat,4.5,1420,Regular,1.5,Cultural,Ancient Buddhist rock-cut chambers inside Uparkot Fort.,Yes, Kutch Gujarat
Sakkarbaug Zoological Garden,Zoo,21.5226,70.4714,Junagadh Gujarat,4.4,6500,Moderate,3,Family,One of India's oldest zoos hosting rare animals.,Yes,TripAdvisor
Ghumli Navlakha Temple,Temple Ruins,21.9785,69.83,Jamnagar District Gujarat,4.2,390,Regular,2,Cultural,12th-century architecture with elephant carvings.,No,ASI
Vishweshwar Mahadev Temple,Temple,21.5142,70.7826,Jetpur Gujarat,4.1,280,Regular,1.5,Spiritual,Shiv temple frequented during Shravan by locals.,No,Local Guide
Dharoi Dam,Reservoir,24.027,72.7465,Mehsana District Gujarat,4.1,460,Regular,2.5,Relaxation,Multipurpose dam with rural water management role.,No,Gujarat Water Mgmt
Parimal Garden,Park,23.0216,72.5522,Ahmedabad Gujarat,4.5,3250,Regular,1.5,Relaxation,Well-maintained park with fountains  jogging tracks and pond.,Yes,Google Maps
Bindu Sarovar,Spiritual Lake,23.7201,72.3938,Sidhpur Gujarat,4.4,1100,Regular,1.5,Spiritual,Mythological lake for performing rituals and shraddha.,Yes,Holidify
Kutch Fossil Park,Fossil Park,23.663,68.9192,Dholavira road Kutch Gujarat,4.1,390,Regular,2.5,Cultural,Dinosaur fossils and skeletons displayed outdoors.,No,Geological Survey
Mangalya Van,Herbal Garden,22.623,69.6174,Bhuj  Kutch Gujarat,4.3,550,Regular,1.5,Relaxation,Eco-garden with Ayurveda plants and trail paths.,No,Holidify
Bardoli Satyagraha Ashram,Historic Site,21.1253,73.112,Bardoli  Surat Gujarat,4.5,680,Regular,1.5,Cultural,Ashram and museum marking 1928 peasant protest movement.,Yes,Gujarat Tourism
Pandu Mahadev Mandir,Temple,21.3571,70.7923,Gir Hills Gujarat,4.3,450,Regular,1.5,Spiritual,Temple located on a huge rock surrounded by jungles.,No,Forestry Info
Zar Museum,Museum,22.2903,70.8,Rajkot Gujarat,4.2,190,Regular,1.2,Cultural,Local museum of vintage coins and arms collection.,No,Local Guide
Moqi Masjid,Heritage Mosque,22.8362,73.627,Panchmahal District Gujarat,4.3,410,Regular,1,Cultural,Mosque with Indo-Islamic domes and Persian calligraphy walls.,No,UNESCO Archive
Aliyar Dam Botanical Garden,Garden,20.5092,73.5177,Narmada District Gujarat,4.1,310,Regular,1.5,Relaxation,Scenic flatland botanical garden above large irrigation dam.,No,Gujarat Irrigation
Rakhial Van Chetna Kendra,Education Forest,23.0511,72.8023,Gandhinagar Gujarat,4.2,220,Regular,1,Family,School-based eco-education park with guided trails.,No,Forest Dept
Himmatnagar Jain Derasar,Temple,23.6037,72.962,Himmatnagar Gujarat,4.5,430,Regular,1.5,Spiritual,Famous marble Jain temple with mirrored interiors.,No,TripAdvisor
Mahisagar Riverfront,Riverfront,22.8109,73.5649,Godhra Gujarat,4.2,260,Regular,1.5,Relaxation,Local riverside developed as open garden & walk zone.,No,Google Maps
Tallest Hanuman Temple,Kutch Temple,23.3911,69.5387,Naliya Gujarat,4.6,780,Regular,2,Spiritual,Huge orange-painted Hanuman idol on platform.,No,Holidify
Bhadra Fort,Heritage Fort,23.0213,72.5743,Bhadra  Ahmedabad Gujarat,4.3,2200,Regular,1.5,Cultural,Central fort zone with clock tower and mosque.,Yes,TripAdvisor
Amrit Udyan,Rosary Garden,21.1414,72.8198,Dumas  Surat Gujarat,4.4,980,Regular,1,Relaxation,Rose garden with picnic benches and seasonal blooms.,No,SMC
Sindhrot Nature Park,Nature Trail,22.3862,73.0107,Vadodara Gujarat,4.2,660,Regular,1.5,Relaxation,Forest patch famous with bikers and stargazers.,No,Holidify
Khodiyar Mata Temple,Temple,21.6882,72.6013,Bhayavadar Gujarat,4.4,780,Regular,1.2,Spiritual,Very popular among Rajput and other communities.,Yes,Gujarat Tourism
Juna Jashpur Jain Temple,Temple,23.5803,71.4957,Near Patan Gujarat,4.3,310,Regular,1.8,Spiritual,Isolated derasar across fields  admired by Jain tourists.,No,Jain Heritage List
Rani no Hajiro,Market,23.0246,72.5877,Old Ahmedabad Gujarat,4.2,1720,Regular,1.5,Cultural,Famous Muslim women-only cloth  silver and perfume bazaar.,Yes,TripAdvisor
Nilgiri Hills,Viewpoint,21.0792,73.5743,Dang region Gujarat,4.1,180,Regular,1,Relaxation,Hilly road top point with Nilgiri plantation walks.,No,Tourism Dept
Kosamba Wetlands,Birding Spot,21.5033,72.9536,Sout Gujarat Gujarat,4.1,145,Regular,1.5,Relaxation,Freshwater flood-plain attracting migratory birds.,No,BirdLife Intl
Tarnetar Temple,Folk Temple,22.8351,71.1955,Tarnetar Gujarat,4.4,890,Regular,2,Cultural,Location of rural Swayamvar Mela and fairground.,Yes,Gujarat Tourism
Mahudi Jain Temple,Temple,23.3832,72.9703,Gandhinagar Gujarat,4.6,7100,Moderate,1.8,Spiritual,Sacred Jain Shwetambar temple & ritual site.,Yes,TripAdvisor
Jain Glass Temple,Decorated Temple,22.5782,70.0541,Morbi Gujarat,4.3,430,Regular,1.2,Spiritual,Glittering mirror work across temple walls.,No,Holidify
Narmada Park,Public Garden,21.869,73.6361,Rajpipla Gujarat,4.2,540,Regular,1.5,Relaxation,Leisure park with musical fountains and toy train.,No,Gujarat Urban Dev
Bhavani Mata Temple,Temple,23.6419,71.2061,Dhrangadhra Gujarat,4.2,500,Regular,1.5,Spiritual,Scenic temple by lake holds local religious fairs.,No,Google Maps
Champaner Fort Wall,Fort Wall,22.4832,73.5389,Champaner Gujarat,4,290,Regular,1.2,Cultural,Huge fortification wall near Pavagadh hills.,No,ASI
Navratri Garba Ground (Ahmedabad),Festival Ground,23.0408,72.5607,Ahmedabad Gujarat,4.6,8800,Moderate,2.5,Cultural,Massive Navratri gathering ground for traditional dance.,Yes,Gujarat Tourism
